"FDC_ID","`data_type`","DESCRIPTION","`food_category_id`","portion_amount","serving","grams_per_serving","NUTRIENTS_PER_100G","DATA_POINTS","`nutrient`"
"167762",sr_legacy_food,"Strawberries, raw","9",1.0,"cup, halves",152.0,0.04,"8",Starch
"167762",sr_legacy_food,"Strawberries, raw","9",1.0,"cup, halves",152.0,0.29,"8",Vitamin E (alpha-tocopherol)
"167762",sr_legacy_food,"Strawberries, raw","9",1.0,"cup, halves",152.0,0.0,"0",Caffeine
"167762",sr_legacy_food,"Strawberries, raw","9",1.0,"cup, halves",152.0,0.14,"74","Zinc, Zn"
"167762",sr_legacy_food,"Strawberries, raw","9",1.0,"cup, halves",152.0,0.3,"15",Total lipid (fat)
"167762",sr_legacy_food,"Strawberries, raw","9",1.0,"cup, halves",152.0,2.0,"21","Fiber, total dietary"
"167762",sr_legacy_food,"Strawberries, raw","9",1.0,"cup, halves",152.0,13.0,"74","Magnesium, Mg"
"167762",sr_legacy_food,"Strawberries, raw","9",1.0,"cup, halves",152.0,0.67,"19",Protein
"167762",sr_legacy_food,"Strawberries, raw","9",1.0,"cup, halves",152.0,58.8,"9","Vitamin C, total ascorbic acid"
"167762",sr_legacy_food,"Strawberries, raw","9",1.0,"cup, halves",152.0,1.0,"72","Sodium, Na"
"167762",sr_legacy_food,"Strawberries, raw","9",1.0,"cup, halves",152.0,153.0,"76","Potassium, K"
"167762",sr_legacy_food,"Strawberries, raw","9",1.0,"cup, halves",152.0,4.4,"10","Fluoride, F"
"167762",sr_legacy_food,"Strawberries, raw","9",1.0,"cup, halves",152.0,16.0,"73","Calcium, Ca"
"167762",sr_legacy_food,"Strawberries, raw","9",1.0,"cup, halves",152.0,7.68,"0","Carbohydrate, by difference"
"167762",sr_legacy_food,"Strawberries, raw","9",1.0,"cup, halves",152.0,32.0,"0",Energy
"167762",sr_legacy_food,"Strawberries, raw","9",1.0,"cup, halves",152.0,0.47,"15",Sucrose
"167762",sr_legacy_food,"Strawberries, raw","9",1.0,"cup, halves",152.0,1.99,"16",Glucose (dextrose)
